language,model,term,layer,proj,cosdiff
es,xlm-roberta-base,ingeniero,5,1.0446655750274658,0.014219522476196289
es,xlm-roberta-base,ingeniero,6,2.0389246940612793,0.014085531234741211
es,xlm-roberta-base,ingeniero,7,2.497227191925049,0.015200436115264893
es,xlm-roberta-base,ingeniero,8,2.2556445598602295,0.017182111740112305
es,xlm-roberta-base,ingeniero,9,3.1456594467163086,0.01595783233642578
es,xlm-roberta-base,ingeniero,10,1.597106695175171,0.011573433876037598
es,xlm-roberta-base,ingeniero,11,1.3558273315429688,0.007498621940612793
es,xlm-roberta-base,ingeniero,12,0.38096606731414795,0.0009431242942810059
es,xlm-roberta-base,abogada,0,-0.14546024799346924,-0.022341802716255188
es,xlm-roberta-base,abogada,1,-0.8139529228210449,-0.029446542263031006
es,xlm-roberta-base,abogada,2,-1.6819286346435547,-0.008490025997161865
es,xlm-roberta-base,abogada,3,-1.283195972442627,-0.00587540864944458
es,xlm-roberta-base,abogada,4,-0.7917690277099609,-0.00635981559753418
es,xlm-roberta-base,abogada,5,-0.9824557304382324,-0.009898602962493896
es,xlm-roberta-base,abogada,6,-0.46089690923690796,-0.016026973724365234
es,xlm-roberta-base,abogada,7,0.08709025382995605,-0.010246038436889648
es,xlm-roberta-base,abogada,8,-0.21504807472229004,-0.008267343044281006
es,xlm-roberta-base,abogada,9,0.6833091974258423,-0.009705305099487305
es,xlm-roberta-base,abogada,10,-0.9482271075248718,-0.010970473289489746
es,xlm-roberta-base,abogada,11,-0.7866402268409729,-0.008024334907531738
es,xlm-roberta-base,abogada,12,-0.015833333134651184,-0.0002465248107910156
es,xlm-roberta-base,enfermera,0,-0.255016028881073,-0.05098547041416168
es,xlm-roberta-base,enfermera,1,-0.9571402668952942,-0.04319554567337036
es,xlm-roberta-base,enfermera,2,-2.064040184020996,-0.016374945640563965
es,xlm-roberta-base,enfermera,3,-1.6045373678207397,-0.010364890098571777
es,xlm-roberta-base,enfermera,4,-1.161051869392395,-0.0119972825050354
es,xlm-roberta-base,enfermera,5,-1.4875741004943848,-0.016537606716156006
es,xlm-roberta-base,enfermera,6,-0.9087460041046143,-0.022217750549316406
es,xlm-roberta-base,enfermera,7,-0.6411095857620239,-0.018660008907318115
es,xlm-roberta-base,enfermera,8,-1.1389052867889404,-0.01829606294631958
es,xlm-roberta-base,enfermera,9,-0.06168556213378906,-0.01766788959503174
es,xlm-roberta-base,enfermera,10,-1.7004895210266113,-0.017887473106384277
es,xlm-roberta-base,enfermera,11,-1.5178542137145996,-0.013469099998474121
es,xlm-roberta-base,enfermera,12,-0.3319149613380432,-0.0011959075927734375
es,xlm-roberta-base,profesora,0,-0.6508083343505859,-0.07196778059005737
es,xlm-roberta-base,profesora,1,-1.3294470310211182,-0.04617905616760254
es,xlm-roberta-base,profesora,2,-2.7040655612945557,-0.022981762886047363
es,xlm-roberta-base,profesora,3,-2.21406626701355,-0.015972435474395752
es,xlm-roberta-base,profesora,4,-1.4866200685501099,-0.01472175121307373
es,xlm-roberta-base,profesora,5,-1.7323355674743652,-0.017742037773132324
es,xlm-roberta-base,profesora,6,-1.01362144947052,-0.02234584093093872
es,xlm-roberta-base,profesora,7,-0.616054356098175,-0.017781972885131836
es,xlm-roberta-base,profesora,8,-0.837390661239624,-0.014423668384552002
es,xlm-roberta-base,profesora,9,0.08251714706420898,-0.015931785106658936
es,xlm-roberta-base,profesora,10,-1.4307323694229126,-0.014894604682922363
es,xlm-roberta-base,profesora,11,-1.033270239830017,-0.009622335433959961
es,xlm-roberta-base,profesora,12,-0.32359305024147034,-0.001166999340057373
es,xlm-roberta-base,mecánica,0,0.01671747863292694,0.004687890410423279
es,xlm-roberta-base,mecánica,1,-0.8034192323684692,-0.03412717580795288
es,xlm-roberta-base,mecánica,2,-1.8715728521347046,-0.014350473880767822
es,xlm-roberta-base,mecánica,3,-1.7172338962554932,-0.012377023696899414
es,xlm-roberta-base,mecánica,4,-0.9077130556106567,-0.008634507656097412
es,xlm-roberta-base,mecánica,5,-1.157060146331787,-0.012502431869506836
es,xlm-roberta-base,mecánica,6,-0.4362231492996216,-0.015600621700286865
es,xlm-roberta-base,mecánica,7,-0.137820303440094,-0.012546777725219727
es,xlm-roberta-base,mecánica,8,-0.2301064133644104,-0.008337616920471191
es,xlm-roberta-base,mecánica,9,1.1454479694366455,-0.004399538040161133
es,xlm-roberta-base,mecánica,10,-0.25995224714279175,-0.004888951778411865
es,xlm-roberta-base,mecánica,11,-0.36135604977607727,-0.004940152168273926
es,xlm-roberta-base,mecánica,12,-0.17106756567955017,-0.0007098913192749023
es,xlm-roberta-base,cocinera,0,-0.014072924852371216,-0.0015762001276016235
es,xlm-roberta-base,cocinera,1,-0.8105556964874268,-0.03199493885040283
es,xlm-roberta-base,cocinera,2,-2.034874439239502,-0.015023946762084961
es,xlm-roberta-base,cocinera,3,-1.4573323726654053,-0.008207619190216064
es,xlm-roberta-base,cocinera,4,-0.6530196666717529,-0.0045708417892456055
es,xlm-roberta-base,cocinera,5,-0.9747578501701355,-0.009612739086151123
es,xlm-roberta-base,cocinera,6,-0.4661880135536194,-0.016207873821258545
es,xlm-roberta-base,cocinera,7,0.00018024444580078125,-0.011294841766357422
es,xlm-roberta-base,cocinera,8,-0.46507155895233154,-0.010992348194122314
es,xlm-roberta-base,cocinera,9,0.5628456473350525,-0.010707318782806396
es,xlm-roberta-base,cocinera,10,-0.9359689950942993,-0.011105477809906006
es,xlm-roberta-base,cocinera,11,-1.1851911544799805,-0.011210083961486816
es,xlm-roberta-base,cocinera,12,-0.11224548518657684,-0.0005379915237426758
es,xlm-roberta-base,minera,0,-0.8856287598609924,-0.10019572079181671
es,xlm-roberta-base,minera,1,-2.136876344680786,-0.08411222696304321
es,xlm-roberta-base,minera,2,-3.2314443588256836,-0.03575378656387329
es,xlm-roberta-base,minera,3,-3.016369342803955,-0.02569735050201416
es,xlm-roberta-base,minera,4,-1.954667568206787,-0.020784378051757812
es,xlm-roberta-base,minera,5,-1.9557363986968994,-0.0200730562210083
es,xlm-roberta-base,minera,6,-0.911605179309845,-0.020165741443634033
es,xlm-roberta-base,minera,7,-0.5450366735458374,-0.01620662212371826
es,xlm-roberta-base,minera,8,-0.75607830286026,-0.013138353824615479
es,xlm-roberta-base,minera,9,0.9040799140930176,-0.00697094202041626
es,xlm-roberta-base,minera,10,-0.7205065488815308,-0.008587419986724854
es,xlm-roberta-base,minera,11,-1.1934731006622314,-0.010571718215942383
es,xlm-roberta-base,minera,12,-0.3422861695289612,-0.001224517822265625
es,xlm-roberta-base,arquitecto,0,0.9356574416160583,0.10400202870368958
es,xlm-roberta-base,arquitecto,1,0.8977614045143127,0.04977309703826904
es,xlm-roberta-base,arquitecto,2,-0.024320542812347412,0.020464181900024414
es,xlm-roberta-base,arquitecto,3,0.6362854242324829,0.015607833862304688
es,xlm-roberta-base,arquitecto,4,1.146540880203247,0.018194913864135742
es,xlm-roberta-base,arquitecto,5,1.0112354755401611,0.012726247310638428
es,xlm-roberta-base,arquitecto,6,1.826220989227295,0.010453224182128906
es,xlm-roberta-base,arquitecto,7,2.126986503601074,0.01080101728439331
es,xlm-roberta-base,arquitecto,8,2.0061097145080566,0.013952553272247314
es,xlm-roberta-base,arquitecto,9,3.0580575466156006,0.01373523473739624
es,xlm-roberta-base,arquitecto,10,1.2544182538986206,0.007974088191986084
