language,model,term,layer,proj,cosdiff
es,facebook/xlm-v-base,juez,7,1.1885372400283813,0.0038933753967285156
es,facebook/xlm-v-base,juez,8,1.1228634119033813,0.003285348415374756
es,facebook/xlm-v-base,juez,9,1.1822609901428223,0.005252659320831299
es,facebook/xlm-v-base,juez,10,1.1178110837936401,0.0071561336517333984
es,facebook/xlm-v-base,juez,11,0.9106013774871826,0.005872189998626709
es,facebook/xlm-v-base,juez,12,3.123910427093506,7.832050323486328e-05
es,facebook/xlm-v-base,dentista,0,0.5332369804382324,0.052625030279159546
es,facebook/xlm-v-base,dentista,1,1.0490796566009521,0.03759795427322388
es,facebook/xlm-v-base,dentista,2,0.6468045115470886,0.013896048069000244
es,facebook/xlm-v-base,dentista,3,0.8345364332199097,0.0064373016357421875
es,facebook/xlm-v-base,dentista,4,0.5772714614868164,0.006412386894226074
es,facebook/xlm-v-base,dentista,5,0.37674587965011597,0.010390818119049072
es,facebook/xlm-v-base,dentista,6,0.8537731170654297,0.0048923492431640625
es,facebook/xlm-v-base,dentista,7,1.0185866355895996,0.0018104910850524902
es,facebook/xlm-v-base,dentista,8,1.173612356185913,0.003866732120513916
es,facebook/xlm-v-base,dentista,9,1.2272100448608398,0.005645692348480225
es,facebook/xlm-v-base,dentista,10,0.887442409992218,0.004902839660644531
es,facebook/xlm-v-base,dentista,11,0.8167035579681396,0.005045056343078613
es,facebook/xlm-v-base,dentista,12,3.0867300033569336,0.0001678466796875
es,facebook/xlm-v-base,estudiante,0,0.5638285279273987,0.05473965406417847
es,facebook/xlm-v-base,estudiante,1,1.0466511249542236,0.03623509407043457
es,facebook/xlm-v-base,estudiante,2,0.9008357524871826,0.019558250904083252
es,facebook/xlm-v-base,estudiante,3,1.057213544845581,0.00927126407623291
es,facebook/xlm-v-base,estudiante,4,0.7524833679199219,0.009443998336791992
es,facebook/xlm-v-base,estudiante,5,0.6599004864692688,0.018574297428131104
es,facebook/xlm-v-base,estudiante,6,1.2063345909118652,0.009160935878753662
es,facebook/xlm-v-base,estudiante,7,1.3535642623901367,0.005234360694885254
es,facebook/xlm-v-base,estudiante,8,1.3195968866348267,0.004872679710388184
es,facebook/xlm-v-base,estudiante,9,1.2685394287109375,0.005940914154052734
es,facebook/xlm-v-base,estudiante,10,1.1436035633087158,0.007257580757141113
es,facebook/xlm-v-base,estudiante,11,0.8970070481300354,0.005693376064300537
