language,model,term,layer,proj,cosdiff
es,microsoft/mdeberta-v3-base,dentista,9,0.2396240234375,0.01220703125
es,microsoft/mdeberta-v3-base,dentista,10,0.0182952880859375,0.0166015625
es,microsoft/mdeberta-v3-base,dentista,11,0.6611328125,0.00927734375
es,microsoft/mdeberta-v3-base,dentista,12,7.1953125,0.00830078125
es,microsoft/mdeberta-v3-base,estudiante,0,-0.48388671875,-0.039306640625
es,microsoft/mdeberta-v3-base,estudiante,1,-0.364990234375,-0.029296875
es,microsoft/mdeberta-v3-base,estudiante,2,-0.68408203125,-0.01220703125
es,microsoft/mdeberta-v3-base,estudiante,3,-0.41796875,0.0078125
es,microsoft/mdeberta-v3-base,estudiante,4,-0.056243896484375,0.02978515625
es,microsoft/mdeberta-v3-base,estudiante,5,0.76025390625,0.06298828125
es,microsoft/mdeberta-v3-base,estudiante,6,0.1988525390625,0.02734375
es,microsoft/mdeberta-v3-base,estudiante,7,0.376708984375,0.029296875
es,microsoft/mdeberta-v3-base,estudiante,8,0.302978515625,0.02783203125
es,microsoft/mdeberta-v3-base,estudiante,9,0.45751953125,0.0205078125
es,microsoft/mdeberta-v3-base,estudiante,10,0.280517578125,0.02880859375
es,microsoft/mdeberta-v3-base,estudiante,11,2.955078125,0.03369140625
es,microsoft/mdeberta-v3-base,estudiante,12,10.15625,0.02001953125
es,microsoft/mdeberta-v3-base,abogado,0,0.9833984375,0.1290283203125
es,microsoft/mdeberta-v3-base,abogado,1,1.0849609375,0.091064453125
es,microsoft/mdeberta-v3-base,abogado,2,0.273681640625,0.04931640625
es,microsoft/mdeberta-v3-base,abogado,3,0.07257080078125,0.0361328125
es,microsoft/mdeberta-v3-base,abogado,4,0.44482421875,0.05224609375
es,microsoft/mdeberta-v3-base,abogado,5,0.74853515625,0.0556640625
es,microsoft/mdeberta-v3-base,abogado,6,0.264892578125,0.0302734375
es,microsoft/mdeberta-v3-base,abogado,7,0.258056640625,0.0205078125
es,microsoft/mdeberta-v3-base,abogado,8,0.379150390625,0.0302734375
es,microsoft/mdeberta-v3-base,abogado,9,0.55224609375,0.02294921875
es,microsoft/mdeberta-v3-base,abogado,10,0.267578125,0.02685546875
es,microsoft/mdeberta-v3-base,abogado,11,1.408203125,0.01806640625
es,microsoft/mdeberta-v3-base,abogado,12,9.21875,0.01318359375
es,microsoft/mdeberta-v3-base,agricultor,0,0.042266845703125,0.01739501953125
es,microsoft/mdeberta-v3-base,agricultor,1,0.0714111328125,0.0146484375
es,microsoft/mdeberta-v3-base,agricultor,2,-0.33349609375,0.02197265625
es,microsoft/mdeberta-v3-base,agricultor,3,-0.31884765625,0.0205078125
es,microsoft/mdeberta-v3-base,agricultor,4,0.1864013671875,0.041015625
